epoch,lr-Adam,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_f1,val_f1_avg,val_iou,val_loss,val_roc_auc
,0.001,0,,,,,,,,,,
,0.001,49,,,,,,,,,,
0,,49,,0.796875,,0.6331620216369629,,,,,,
0,,95,,,,,0.6731770634651184,0.3980741500854492,0.5344468951225281,0.4072655439376831,0.8090563416481018,0.590628445148468
0,,95,0.5877278447151184,,0.8777115345001221,,,,,,,
,0.001,96,,,,,,,,,,
,0.001,99,,,,,,,,,,
1,,99,,0.7109375,,0.5906858444213867,,,,,,
,0.001,149,,,,,,,,,,
1,,149,,0.6640625,,0.7319357395172119,,,,,,
1,,191,,,,,0.6793619990348816,0.3927018642425537,0.5316773056983948,0.40705549716949463,0.7564561367034912,0.6242995858192444
1,,191,0.6371256709098816,,0.7784673571586609,,,,,,,
,0.001,192,,,,,,,,,,
,0.001,199,,,,,,,,,,
2,,199,,0.59375,,0.8062301874160767,,,,,,
,0.001,249,,,,,,,,,,
2,,249,,0.5078125,,0.9838770627975464,,,,,,
2,,287,,,,,0.6959635615348816,0.40782877802848816,0.5491755604743958,0.42508986592292786,0.7354049682617188,0.6401059031486511
2,,287,0.6640625,,0.7437707781791687,,,,,,,
,0.001,288,,,,,,,,,,
,0.001,299,,,,,,,,,,
3,,299,,0.6328125,,0.8848302364349365,,,,,,
,0.001,349,,,,,,,,,,
3,,349,,0.609375,,1.0984830856323242,,,,,,
3,,383,,,,,0.6995442509651184,0.40683606266975403,0.5590139031410217,0.43415769934654236,0.731132984161377,0.6458280086517334
3,,383,0.675537109375,,0.7233424186706543,,,,,,,
,0.001,384,,,,,,,,,,
,0.001,399,,,,,,,,,,
4,,399,,0.6640625,,0.6563911437988281,,,,,,
,0.001,449,,,,,,,,,,
4,,449,,0.734375,,0.6052687168121338,,,,,,
4,,479,,,,,0.7063801884651184,0.411883145570755,0.5557520389556885,0.43417778611183167,0.7028255462646484,0.659694254398346
4,,479,0.687744140625,,0.7042458653450012,,,,,,,
,0.001,480,,,,,,,,,,
,0.001,499,,,,,,,,,,
5,,499,,0.75,,0.5444060564041138,,,,,,
,0.001,549,,,,,,,,,,
5,,549,,0.75,,0.5817254781723022,,,,,,
5,,575,,,,,0.7102864384651184,0.41245630383491516,0.5568035840988159,0.4371226727962494,0.7025291323661804,0.6634566783905029
5,,575,0.6963704228401184,,0.6854259371757507,,,,,,,
,0.001,576,,,,,,,,,,
,0.001,599,,,,,,,,,,
6,,599,,0.765625,,0.6026831269264221,,,,,,
,0.001,649,,,,,,,,,,
6,,649,,0.734375,,0.5878778696060181,,,,,,
6,,671,,,,,0.701171875,0.395120769739151,0.5417090058326721,0.4198991060256958,0.7290040850639343,0.6579598784446716
6,,671,0.703125,,0.6745279431343079,,,,,,,
,0.001,672,,,,,,,,,,
,0.001,699,,,,,,,,,,
7,,699,,0.7578125,,0.5447128415107727,,,,,,
,0.001,749,,,,,,,,,,
7,,749,,0.65625,,0.78133225440979,,,,,,
7,,767,,,,,0.7138671875,0.41275930404663086,0.5593134760856628,0.4411577880382538,0.6966519951820374,0.6678170561790466
7,,767,0.7062174677848816,,0.6658355593681335,,,,,,,
,0.001,768,,,,,,,,,,
,0.001,799,,,,,,,,,,
8,,799,,0.796875,,0.525841474533081,,,,,,
,0.001,849,,,,,,,,,,
8,,849,,0.75,,0.5711483359336853,,,,,,
8,,863,,,,,0.7220051884651184,0.4175727069377899,0.5660009980201721,0.44875773787498474,0.6815078854560852,0.6728591918945312
8,,863,0.718994140625,,0.6505255103111267,,,,,,,
,0.001,864,,,,,,,,,,
,0.001,899,,,,,,,,,,
9,,899,,0.765625,,0.5602822303771973,,,,,,
,0.001,949,,,,,,,,,,
9,,949,,0.765625,,0.5770670175552368,,,,,,
9,,959,,,,,0.6559244990348816,0.35457196831703186,0.472646027803421,0.3569791316986084,0.7834128737449646,0.6590344905853271
9,,959,0.7224934697151184,,0.637885570526123,,,,,,,
,0.001,960,,,,,,,,,,
,0.001,999,,,,,,,,,,
10,,999,,0.65625,,0.862587571144104,,,,,,
,0.001,1049,,,,,,,,,,
10,,1049,,0.7578125,,0.5459266901016235,,,,,,
10,,1055,,,,,0.7177734375,0.4121316373348236,0.558016836643219,0.44030728936195374,0.6885164380073547,0.6676761507987976
10,,1055,0.7290852665901184,,0.625758707523346,,,,,,,
,0.001,1056,,,,,,,,,,
,0.001,1099,,,,,,,,,,
11,,1099,,0.625,,1.1034436225891113,,,,,,
,0.001,1149,,,,,,,,,,
11,,1149,,0.78125,,0.5323022603988647,,,,,,
11,,1151,,,,,0.7314453125,0.41946128010749817,0.5691328048706055,0.45509979128837585,0.6869584918022156,0.6678474545478821
11,,1151,0.7369791865348816,,0.6138032078742981,,,,,,,
,0.001,1152,,,,,,,,,,
,0.001,1199,,,,,,,,,,
12,,1199,,0.765625,,0.5129090547561646,,,,,,
12,,1247,,,,,0.7252604365348816,0.41225025057792664,0.5597426891326904,0.4436069428920746,0.6984766125679016,0.6697921752929688
12,,1247,0.7392578125,,0.6054375767707825,,,,,,,
,0.001,1248,,,,,,,,,,
,0.001,1249,,,,,,,,,,
13,,1249,,0.8046875,,0.448947012424469,,,,,,
,0.001,1299,,,,,,,,,,
13,,1299,,0.734375,,0.5499175190925598,,,,,,
13,,1343,,,,,0.7281901240348816,0.4151979684829712,0.5794836282730103,0.46400511264801025,0.711517333984375,0.6705832481384277
13,,1343,0.747802734375,,0.5934596061706543,,,,,,,
,0.001,1344,,,,,,,,,,
,0.001,1349,,,,,,,,,,
14,,1349,,0.6640625,,0.6848447322845459,,,,,,
,0.001,1399,,,,,,,,,,
14,,1399,,0.7265625,,0.6088703870773315,,,,,,
14,,1439,,,,,0.7200520634651184,0.41268157958984375,0.5593228936195374,0.4429159164428711,0.6937267780303955,0.6715900301933289
14,,1439,0.751708984375,,0.5851189494132996,,,,,,,
,0.001,1440,,,,,,,,,,
,0.001,1449,,,,,,,,,,
15,,1449,,0.8359375,,0.3658861219882965,,,,,,
,0.001,1499,,,,,,,,,,
15,,1499,,0.65625,,0.8712087869644165,,,,,,
15,,1535,,,,,0.6910807490348816,0.38289180397987366,0.5181005597114563,0.3995601236820221,0.7599924206733704,0.666606605052948
15,,1535,0.7576497197151184,,0.5760452747344971,,,,,,,
,0.001,1536,,,,,,,,,,
,0.001,1549,,,,,,,,,,
16,,1549,,0.65625,,0.9079513549804688,,,,,,
,0.001,1599,,,,,,,,,,
16,,1599,,0.6953125,,0.67292320728302,,,,,,
16,,1631,,,,,0.7242838740348816,0.41044601798057556,0.5680237412452698,0.4502728283405304,0.6964989304542542,0.6789430975914001
16,,1631,0.7626953125,,0.5632578730583191,,,,,,,
,0.001,1632,,,,,,,,,,
,0.001,1649,,,,,,,,,,
17,,1649,,0.7265625,,0.6570911407470703,,,,,,
,0.001,1699,,,,,,,,,,
17,,1699,,0.71875,,0.620751142501831,,,,,,
17,,1727,,,,,0.7288411259651184,0.41701969504356384,0.5661031603813171,0.4509463608264923,0.682100772857666,0.6740495562553406
17,,1727,0.7638346552848816,,0.5565142035484314,,,,,,,
,0.001,1728,,,,,,,,,,
,0.001,1749,,,,,,,,,,
18,,1749,,0.8125,,0.4434950649738312,,,,,,
,0.001,1799,,,,,,,,,,
18,,1799,,0.6875,,1.1483772993087769,,,,,,
18,,1823,,,,,0.689453125,0.3793741464614868,0.5120296478271484,0.39389869570732117,0.7891861796379089,0.667061984539032
18,,1823,0.7699381709098816,,0.5456271171569824,,,,,,,
,0.001,1824,,,,,,,,,,
,0.001,1849,,,,,,,,,,
19,,1849,,0.796875,,0.46628615260124207,,,,,,
,0.001,1899,,,,,,,,,,
19,,1899,,0.6953125,,0.5744472742080688,,,,,,
19,,1919,,,,,0.7347005009651184,0.41650304198265076,0.5788511037826538,0.4637770652770996,0.6784408092498779,0.6805834770202637
19,,1919,0.77392578125,,0.5375306606292725,,,,,,,
,0.001,1920,,,,,,,,,,
,0.001,1949,,,,,,,,,,
20,,1949,,0.84375,,0.4838874340057373,,,,,,
,0.001,1999,,,,,,,,,,
20,,1999,,0.8046875,,0.4208824336528778,,,,,,
20,,2015,,,,,0.7347005009651184,0.41787001490592957,0.5678237080574036,0.45305851101875305,0.6818355917930603,0.6806323528289795
20,,2015,0.7810872197151184,,0.5237966179847717,,,,,,,
,0.001,2016,,,,,,,,,,
,0.001,2049,,,,,,,,,,
21,,2049,,0.8671875,,0.32985198497772217,,,,,,
,0.001,2099,,,,,,,,,,
21,,2099,,0.75,,0.5925600528717041,,,,,,
21,,2111,,,,,0.6962890625,0.3877035677433014,0.537200391292572,0.4156173765659332,0.7743937969207764,0.6647539734840393
21,,2111,0.789306640625,,0.5104905366897583,,,,,,,
,0.001,2112,,,,,,,,,,
,0.001,2149,,,,,,,,,,
22,,2149,,0.8046875,,0.4877361059188843,,,,,,
,0.001,2199,,,,,,,,,,
22,,2199,,0.8515625,,0.39423611760139465,,,,,,
22,,2207,,,,,0.7545573115348816,0.43353262543678284,0.6045112609863281,0.49459969997406006,0.6515323519706726,0.6775972843170166
22,,2207,0.7867024540901184,,0.5094999074935913,,,,,,,
